# 1.8 — items 86-100

pecūnia     | pecūniae      | het geld
aedificium  | aedificiī     | het gebouw
spectāculum | spectāculī    | het schouwspel
finis       | fīn-is, m.    | de grens; het einde; het doel
iter        | itiner-is, o. | de reis; de weg
laetus      | ~a, ~um       | vrolijk
lātus       | ~a, ~um       | breed; uitgestrekt
longus      | ~a, ~um       | lang
magnus      | ~a, ~um       | groot; belangrijk
optimus     | ~a, ~um       | beste; zeer goed
timidus     | ~a, ~um       | bang
clāmāre     | clāmō         | roepen
invenīre    | inveniō       | vinden; ontdekken
tum         | (bijwoord)    | op dat moment
tunc        | (bijwoord)    | op dat moment
dum         | (bijwoord)    | terwijl
