# 1.7 — items 64-85

theātrum   | theātrī            | het theater
mulier     | mulier-is, v.      | de vrouw
uxor       | uxōr-is, v.        | de echtgenote
cōgitāre   | cōgitō              | (na)denken
dare       | dō                 | geven
narrāre    | narrō               | vertellen
properāre  | properō             | zich haasten
rogāre     | rogō                | vragen
spectāre   | spectō              | (be)kijken; op het oog hebben
stāre      | stō                | staan; blijven staan
gaudēre    | gaudeō              | blij zijn
habēre     | habeō               | hebben; beschouwen als
respondēre | respondeō           | antwoorden
sedēre     | sedeō               | zitten
vidēre     | videō               | zien
aperīre    | aperiō              | openen; onthullen
venīre     | veniō               | komen
esse       | sum                | zijn; bestaan
cūr        | (bijwoord)         | waarom?
domum      | (bijwoord)         | naar huis
ideō       | (bijwoord)         | daarom
intereā    | (bijwoord)         | intussen
