# Hoofdstuk 1 — Familia
# VOORLOPIGE LIJST — zelf verzonnen om mee te ontwikkelen, niet haar echte
# hoofdstuk 1. Vervang de regels hieronder door de echte lijst en verhoog "rev"
# in index.json. Er zitten met opzet lastige gevallen in: een homoniem (liber),
# woorden die een vertaling delen (zeggen), accenten (één), alternatieven met
# "/", een lege vorm, een regel met twee velden, en uitgelijnde kolommen.

pater    | patris, m.       | vader
mater    | matris, f.       | moeder / mama
filius   | filii, m.        | zoon
filia    | filiae, f.       | dochter
frater   | fratris, m.      | broer
soror    | sororis, f.      | zus / zuster
avus     | avi, m.          | grootvader / opa
avia     | aviae, f.        | grootmoeder / oma
puer     | pueri, m.        | jongen
puella   | puellae, f.      | meisje
vir      | viri, m.         | man
femina   | feminae, f.      | vrouw
domus    | domus, f.        | huis / thuis
familia  | familiae, f.     | familie / gezin
liber    | libri, m.        | boek
liber    | libera, liberum  | vrij
donum    | doni, n.         | geschenk / cadeau
unus     | una, unum        | één
magnus   | magna, magnum    | groot
parvus   | parva, parvum    | klein
amare    | amo, amavi       | houden van / liefhebben
dicere   | dico, dixi       | zeggen / spreken
narrare  | narro, narravi   | vertellen / zeggen
ad       |                  | naar / bij / tot
cum      | + abl.           | met / samen met
sed      | maar
